logged_at,candle_time,symbol,broker_gmt_offset,open,high,low,close,ma_20,ma_50,rsi_14,atr_14,adx_14,h1_trend,m5_trend,dxy_trend,fvg_state,atr_percentile,ma_distance_atr,volume_ratio,body_ratio,news_event,spread_points,candle_range,candle_body,bot_signal,bot_decision,bot_blockers,your_decision,your_reason,entry_price,stop_loss,take_profit,trade_result
2026-09-17 21:43:59,2026-09-17 17:15:00,XAUUSD,3,4371.69,4372.88,4365.53,4366.84,4344.05,4319.75,61.97,12.77,40.16,DOWNTREND,UPTREND,UNKNOWN,BULL,63.5,3.69,1.5,0.66,,30.0,7.35,4.85,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-17 21:45:14,2026-09-17 17:30:00,XAUUSD,3,4366.85,4367.86,4359.37,4361.05,4346.64,4321.22,58.6,12.47,40.01,DOWNTREND,UPTREND,UNKNOWN,BULL,58.3,3.2,1.31,0.68,,26.0,8.49,5.8,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-17 22:00:04,2026-09-17 17:45:00,XAUUSD,3,4361.17,4364.64,4352.2,4354.0,4349.03,4322.47,54.7,12.47,38.92,DOWNTREND,UPTREND,UNKNOWN,BEAR,57.3,2.53,1.39,0.58,,33.0,12.44,7.17,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-17 22:15:03,2026-09-17 18:00:00,XAUUSD,3,4354.04,4362.22,4351.43,4361.82,4351.61,4323.93,58.04,12.35,37.8,DOWNTREND,UPTREND,UNKNOWN,BEAR,54.2,3.07,1.33,0.72,,23.0,10.79,7.78,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-17 22:30:03,2026-09-17 18:15:00,XAUUSD,3,4361.85,4364.52,4356.39,4358.12,4353.84,4325.55,55.94,12.04,36.96,DOWNTREND,UPTREND,UNKNOWN,BEAR,52.1,2.7,1.21,0.46,,32.0,8.13,3.73,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-17 22:45:17,2026-09-17 18:30:00,XAUUSD,3,4358.12,4367.26,4355.52,4365.85,4356.31,4327.16,59.25,12.02,36.4,DOWNTREND,UPTREND,UNKNOWN,NONE,51.0,3.22,1.14,0.66,,23.0,11.74,7.73,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-17 23:00:02,2026-09-17 18:45:00,XAUUSD,3,4365.76,4370.16,4363.49,4370.03,4358.6,4328.84,60.96,11.64,36.11,DOWNTREND,DOWNTREND,UNKNOWN,NONE,49.0,3.54,1.02,0.64,,35.0,6.67,4.27,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-17 23:14:59,2026-09-17 19:00:00,XAUUSD,3,4370.06,4372.53,4367.22,4368.15,4360.42,4330.29,59.75,11.19,36.03,DOWNTREND,DOWNTREND,UNKNOWN,NONE,45.8,3.38,1.02,0.36,,28.0,5.31,1.91,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-17 23:30:01,2026-09-17 19:15:00,XAUUSD,3,4368.18,4368.94,4363.79,4367.75,4362.38,4331.72,59.48,10.76,35.4,DOWNTREND,DOWNTREND,UNKNOWN,NONE,43.8,3.35,0.84,0.08,,24.0,5.15,0.43,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-17 23:45:19,2026-09-17 19:30:00,XAUUSD,3,4367.61,4367.7,4357.53,4360.03,4364.14,4333.05,54.34,10.72,33.9,DOWNTREND,DOWNTREND,UNKNOWN,NONE,42.7,2.52,0.91,0.75,,26.0,10.17,7.58,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-18 00:00:10,2026-09-17 19:45:00,XAUUSD,3,4359.99,4362.35,4355.91,4362.35,4364.76,4334.47,55.58,10.41,32.29,UPTREND,DOWNTREND,UNKNOWN,BEAR,40.6,2.68,1.01,0.37,,23.0,6.44,2.36,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-18 00:15:22,2026-09-17 20:00:00,XAUUSD,3,4362.34,4365.84,4358.33,4361.87,4365.13,4335.81,55.25,10.21,31.16,UPTREND,UPTREND,UNKNOWN,NONE,39.6,2.55,0.86,0.06,,29.0,7.51,0.47,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-18 00:30:09,2026-09-17 20:15:00,XAUUSD,3,4362.01,4363.09,4357.87,4360.47,4364.09,4337.07,54.23,9.85,30.05,UPTREND,DOWNTREND,UNKNOWN,NONE,35.4,2.38,0.92,0.3,,37.0,5.22,1.54,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-18 00:45:17,2026-09-17 20:30:00,XAUUSD,3,4360.49,4363.77,4357.86,4360.46,4364.09,4338.4,54.22,9.57,29.1,UPTREND,DOWNTREND,UNKNOWN,NONE,28.1,2.31,0.69,0.01,,30.0,5.91,0.03,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-18 01:00:05,2026-09-17 20:45:00,XAUUSD,3,4360.37,4361.7,4358.66,4361.24,4363.49,4339.9,54.76,9.1,28.21,UPTREND,DOWNTREND,UNKNOWN,NONE,16.7,2.34,0.54,0.29,,35.0,3.04,0.87,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-18 01:15:22,2026-09-17 21:00:00,XAUUSD,3,4361.34,4365.34,4360.15,4364.66,4363.42,4341.25,57.16,8.82,27.84,UPTREND,DOWNTREND,UNKNOWN,NONE,10.4,2.65,0.75,0.64,,30.0,5.19,3.32,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-18 01:30:08,2026-09-17 21:15:00,XAUUSD,3,4364.59,4365.58,4355.88,4356.24,4362.88,4342.29,50.12,8.89,26.73,UPTREND,DOWNTREND,UNKNOWN,NONE,11.5,1.57,0.81,0.86,,23.0,9.7,8.35,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-18 01:45:14,2026-09-17 21:30:00,XAUUSD,3,4356.34,4356.44,4348.39,4352.09,4362.57,4343.09,47.05,8.83,25.08,UPTREND,DOWNTREND,UNKNOWN,BEAR,9.4,1.02,0.74,0.53,,32.0,8.05,4.25,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-18 02:00:07,2026-09-17 21:45:00,XAUUSD,3,4352.12,4352.71,4349.22,4351.48,4361.81,4343.88,46.59,8.44,23.55,UPTREND,DOWNTREND,UNKNOWN,BEAR,3.1,0.9,0.61,0.18,,28.0,3.49,0.64,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-18 02:15:23,2026-09-17 22:00:00,XAUUSD,3,4351.48,4356.04,4351.38,4354.62,4360.96,4344.78,49.3,8.17,22.11,UPTREND,DOWNTREND,UNKNOWN,NONE,1.0,1.2,0.67,0.67,,25.0,4.66,3.14,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
2026-09-18 02:30:00,2026-09-17 22:15:00,XAUUSD,3,4354.64,4354.76,4343.26,4343.28,4359.78,4345.43,41.19,8.41,21.41,UPTREND,DOWNTREND,UNKNOWN,NONE,3.1,-0.26,0.73,0.99,,29.0,11.5,11.36,HOLD,SKIP,สัญญาณตัดกัน M15,,,,,,
