logged_at,candle_time,symbol,close,ma_20,ma_50,signal
2026-09-08 23:31:37,2026-09-08 19:15:00,XAUUSD,4393.97,4398.91,4403.64,HOLD
2026-09-09 00:16:24,2026-09-08 20:00:00,XAUUSD,4395.41,4397.99,4401.14,HOLD
2026-09-09 21:52:42,2026-09-09 17:30:00,XAUUSD,4418.84,4406.32,4397.54,HOLD
2026-09-09 22:00:12,2026-09-09 17:45:00,XAUUSD,4418.67,4407.72,4398.46,HOLD
2026-09-09 22:15:13,2026-09-09 18:00:00,XAUUSD,4389.72,4407.65,4398.76,HOLD
2026-09-09 22:30:13,2026-09-09 18:15:00,XAUUSD,4394.54,4407.66,4399.02,HOLD
2026-09-09 22:45:13,2026-09-09 18:30:00,XAUUSD,4402.99,4408.07,4399.5,HOLD
2026-09-09 23:00:14,2026-09-09 18:45:00,XAUUSD,4398.32,4408.01,4399.9,HOLD
2026-09-09 23:15:14,2026-09-09 19:00:00,XAUUSD,4397.88,4407.73,4400.29,HOLD
2026-09-09 23:30:15,2026-09-09 19:15:00,XAUUSD,4401.62,4407.4,4400.82,HOLD
